3013,-12533,-37761929,-37761929
32274,27830,898185420,898185420
849,2994,2541906,2541906
-16224,13037,-211512288,-211512288
22925,-5908,-135446808,-135440900
-20462,3705,-75811710,-75811710
-9611,-15492,148893612,148893612
-2481,-17326,42985806,42985806
4879,-19902,-97101858,-97101858
1152,-18903,-21776256,-21776256
19973,-26865,-536574645,-536574645
67,15840,1045440,1061280
-26689,2978,-79479842,-79479842
-9635,18343,-176716462,-176734805
-17297,27798,-480822006,-480822006
15708,-27872,-437813376,-437813376
17998,-11416,-205465168,-205465168
-27164,-24683,670489012,670489012
-31363,7768,-243620016,-243627784
3092,-23882,-73843144,-73843144
-32061,-5541,177655542,177650001
-28453,-25912,737274136,737274136
2979,-27956,-83252968,-83280924
-12418,18125,-225076250,-225076250
-22023,12330,-271543590,-271543590
12618,8350,105360300,105360300
-22361,-23934,535188174,535188174
-7510,25177,-189079270,-189079270
6262,-31284,-195900408,-195900408
-11636,3130,-36420680,-36420680
-15439,13301,-205354139,-205354139
-21910,-10433,228587030,228587030
13483,-13890,-187278870,-187278870
-10046,16024,-160977104,-160977104
-18256,9021,-164687376,-164687376
-30862,-32418,1000484316,1000484316
23178,-9181,-212797218,-212797218
-24410,-26237,640445170,640445170
-5847,20887,-122460481,-122126289
-11042,17012,-187846504,-187846504
-4986,-24895,124126470,124126470
-29251,-1683,49227750,49229433
-19360,-24870,481483200,481483200
-2796,-1305,3648780,3648780
19432,-4381,-85131592,-85131592
-1299,16424,-21318352,-21334776
31462,-5434,-170964508,-170964508
18692,-30360,-567489120,-567489120
-11633,-20714,240965962,240965962
19821,20090,398223980,398203890
-25216,5676,-143126016,-143126016
12753,-12416,-158539904,-158341248
-7157,-16695,119486115,119486115
-8167,1173,-9579891,-9579891
31091,7,217630,217637
2767,-21263,-59174929,-58834721
-7660,-566,4335560,4335560
6437,17263,111121931,111121931
28722,-30110,-864337660,-864819420
14821,1,14821,14821
11368,18855,214343640,214343640
21040,-6920,-145486080,-145596800
-7578,-27857,211100346,211100346
6232,-21343,-133009576,-133009576
7686,-31506,-242155116,-242155116
-3911,-11984,46869424,46869424
11866,-1299,-15413934,-15413934
3044,-29073,-88498212,-88498212
8135,-28599,-232652865,-232652865
20718,-7646,-158409828,-158409828
-17979,-24255,436080645,436080645
28742,-30811,-885569762,-885569762
-30629,19327,-591966683,-591966683
-11038,-1355,14956490,14956490
-9482,26460,-250893720,-250893720
